Region,Exposure Category,WRI Category,Vulnerability Category,Susceptibility Category,Region for Exposure,Very High Exposure Category,Region Vulnerability,Very High Vulnerability Category,Region Susceptibility,Very High Susceptibility Category
Vanuatu,Very High,Very High,High,High,Vanuatu,Very High,Papua-Neuguinea,Very High,Salomonen,Very High
Salomonen,Very High,Very High,High,Very High,Salomonen,Very High,Komoren,Very High,Papua-Neuguinea,Very High
Tonga,Very High,Very High,Medium,High,Tonga,Very High,Haiti,Very High,Komoren,Very High
Dominica,Very High,Very High,Medium,Medium,Dominica,Very High,Niger,Very High,Haiti,Very High
Antigua und Barbuda,Very High,Very High,Low,Medium,Antigua und Barbuda,Very High,Guinea-Bissau,Very High,Niger,Very High
Brunei Darussalam,Very High,Very High,Low,Very Low,Brunei Darussalam,Very High,Kamerun,Very High,Guinea-Bissau,Very High
Guyana,Very High,Very High,High,Medium,Guyana,Very High,Nigeria,Very High,Kamerun,Very High
Philippinen,Very High,Very High,High,High,Philippinen,Very High,Gambia,Very High,Nigeria,Very High
Papua-Neuguinea,Very High,Very High,Very High,Very High,Papua-Neuguinea,Very High,Tschad,Very High,Tschad,Very High
Guatemala,Very High,Very High,High,High,Guatemala,Very High,Benin,Very High,Benin,Very High
Kap Verde,Very High,Very High,Medium,High,Kap Verde,Very High,Burkina Faso,Very High,Burkina Faso,Very High
Costa Rica,Very High,Very High,Low,Low,Costa Rica,Very High,Togo,Very High,Togo,Very High
Bangladesch,Very High,Very High,High,High,Bangladesch,Very High,Mali,Very High,Mali,Very High
Fidschi,Very High,Very High,Medium,Medium,Fidschi,Very High,Madagaskar,Very High,Madagaskar,Very High
Kambodscha,Very High,Very High,High,High,Kambodscha,Very High,Burundi,Very High,Burundi,Very High
Timor-Leste,Very High,Very High,High,High,Timor-Leste,Very High,Kenia,Very High,Kenia,Very High
Dschibuti,Very High,Very High,High,High,Dschibuti,Very High,Angola,Very High,Angola,Very High
El Salvador,Very High,Very High,High,Medium,El Salvador,Very High,Elfenbeinküste,Very High,Elfenbeinküste,Very High
Kiribati,Very High,Very High,High,High,Kiribati,Very High,Sierra Leone,Very High,Sierra Leone,Very High
Komoren,Very High,Very High,Very High,Very High,Komoren,Very High,Simbabwe,Very High,Simbabwe,Very High
Haiti,Very High,Very High,Very High,Very High,Haiti,Very High,Mosambik,Very High,Mosambik,Very High
Nicaragua,Very High,High,Very High,High,Nicaragua,Very High,Tansania,Very High,Tansania,Very High
Niger,High,Very High,Very High,Very High,Kamerun,Very High,Malawi,Very High,Malawi,Very High
Guinea-Bissau,Very High,Very High,Very High,Very High,Uruguay,Very High,Liberia,Very High,Liberia,Very High
Kamerun,Very High,Very High,Very High,Very High,Jamaika,Very High,Demokratische Rep. Kongo,Very High,Demokratische Rep. Kongo,Very High
Nigeria,High,Very High,Very High,Very High,Dominikanische Republik,Very High,Guinea,Very High,Guinea,Very High
Uruguay,Very High,Very High,Low,Low,Chile,Very High,Uganda,Very High,Uganda,Very High
