region_name;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;;country;Year;Score
 Denmark;88;88;87;88;88;90;91;92;91;90;; Denmark;2021;88
 New Zealand;88;88;87;87;89;90;91;91;91;90;; New Zealand;2021;88
 Finland;88;85;86;85;85;89;90;89;89;90;; Finland;2021;88
 Singapore;85;85;85;85;84;84;85;84;86;87;; Singapore;2021;85
 Sweden;85;85;85;85;84;88;89;87;89;88;; Sweden;2021;85
  Switzerland;84;85;85;85;85;86;86;86;85;86;;  Switzerland;2021;84
 Norway;85;84;84;84;85;85;87;86;86;85;; Norway;2021;85
 Netherlands;82;82;82;82;82;83;87;83;83;84;; Netherlands;2021;82
 Germany;80;80;80;80;81;81;81;79;78;79;; Germany;2021;80
 Luxembourg;81;80;80;81;82;81;81;82;80;80;; Luxembourg;2021;81
 Australia;73;77;77;77;77;79;79;80;81;85;; Australia;2021;73
 Canada;74;77;77;81;82;82;83;81;81;84;; Canada;2021;74
 Hong Kong;76;77;76;76;77;77;75;74;75;77;; Hong Kong;2021;76
 United Kingdom;78;77;77;80;82;81;81;78;76;74;; United Kingdom;2021;78
 Austria;74;76;77;76;75;75;76;72;69;69;; Austria;2021;74
 Belgium;73;76;75;75;75;77;77;76;75;75;; Belgium;2021;73
 Estonia;74;75;74;73;71;70;70;69;68;64;; Estonia;2021;74
 Iceland;74;75;78;76;77;78;79;79;78;82;; Iceland;2021;74
 Japan;73;74;73;73;73;72;75;76;74;74;; Japan;2021;73
 Ireland;74;72;74;73;74;73;75;74;72;69;; Ireland;2021;74
 United Arab Emirates;69;71;71;70;71;66;70;70;69;68;; United Arab Emirates;2021;69
 Uruguay;73;71;71;70;70;71;74;73;73;72;; Uruguay;2021;73
 France;71;69;69;72;70;69;70;69;71;71;; France;2021;71
 Bhutan;68;68;68;68;67;65;65;65;63;63;; Bhutan;2021;68
 Chile;67;67;67;67;67;66;70;73;71;72;; Chile;2021;67
 United States;67;67;69;71;75;74;76;74;73;73;; United States;2021;67
 Seychelles;70;66;66;66;60;60;55;55;54;52;; Seychelles;2021;70
 Taiwan;68;65;65;63;63;61;62;61;61;61;; Taiwan;2021;68
 Barbados;65;64;62;68;68;61;68;74;75;76;; Barbados;2021;65
 Bahamas;64;63;64;65;65;66;67;71;71;71;; Bahamas;2021;64
 Qatar;63;63;62;62;63;61;71;69;68;68;; Qatar;2021;63
 South Korea;62;61;59;57;54;53;56;55;55;56;; South Korea;2021;62
 Portugal;62;61;62;64;63;62;63;63;62;63;; Portugal;2021;62
 Lithuania;61;60;60;59;59;59;61;58;57;54;; Lithuania;2021;61
