country,Year,Score
 Denmark,2021,88
 New Zealand,2021,88
 Finland,2021,88
 Singapore,2021,85
 Sweden,2021,85
  Switzerland,2021,84
 Norway,2021,85
 Netherlands,2021,82
 Germany,2021,80
 Luxembourg,2021,81
 Australia,2021,73
 Canada,2021,74
 Hong Kong,2021,76
 United Kingdom,2021,78
 Austria,2021,74
 Belgium,2021,73
 Estonia,2021,74
 Iceland,2021,74
 Japan,2021,73
 Ireland,2021,74
 United Arab Emirates,2021,69
 Uruguay,2021,73
 France,2021,71
 Bhutan,2021,68
 Chile,2021,67
 United States,2021,67
 Seychelles,2021,70
 Taiwan,2021,68
 Barbados,2021,65
 Bahamas,2021,64
 Qatar,2021,63
 South Korea,2021,62
 Portugal,2021,62
 Lithuania,2021,61
 Spain,2021,61
 Botswana,2021,55
 Brunei,2021,60
 Israel,2021,59
 Slovenia,2021,57
 Saint Vincent and the Grenadines,2021,59
 Cape Verde,2021,58
 Costa Rica,2021,58
 Cyprus,2021,53
 Latvia,2021,59
 Georgia,2021,55
 Poland,2021,56
 Saint Lucia,2021,56
 Dominica,2021,55
 Czech Republic,2021,54
 Oman,2021,52
 Rwanda,2021,53
 Grenada,2021,53
 Italy,2021,56
 Malta,2021,54
 Mauritius,2021,54
 Saudi Arabia,2021,53
 Malaysia,2021,48
 Namibia,2021,49
 Greece,2021,49
 Armenia,2021,49
 Jordan,2021,49
 Slovakia,2021,52
 Belarus,2021,41
 Croatia,2021,47
 Cuba,2021,46
 São Tomé and Príncipe,2021,45
 Montenegro,2021,46
 Senegal,2021,43
 Bulgaria,2021,42
 Hungary,2021,43
 Jamaica,2021,44
 Romania,2021,45
 South Africa,2021,44
 Tunisia,2021,44
 Ghana,2021,43
 Maldives,2021,40
 Vanuatu,2021,45
 Argentina,2021,38
 Bahrain,2021,42
 China,2021,45
 Kuwait,2021,43
 Solomon Islands,2021,43
 Benin,2021,42
 Guyana,2021,39
 Lesotho,2021,38
 Burkina Faso,2021,42
 India,2021,40
 Morocco,2021,39
 Timor-Leste,2021,41
 Trinidad and Tobago,2021,41
 Turkey,2021,38
 Colombia,2021,39
 Ecuador,2021,36
 Brazil,2021,38
 Ethiopia,2021,39
 Kazakhstan,2021,37
 Peru,2021,36
 Serbia,2021,38
 Sri Lanka,2021,37
 Suriname,2021,39
 Tanzania,2021,39
 Gambia,2021,37
 Indonesia,2021,38
 Albania,2021,35
 Algeria,2021,33
 Ivory Coast,2021,36
 El Salvador,2021,34
 Kosovo,2021,39
 Thailand,2021,35
 Vietnam,2021,39
 Bosnia and Herzegovina,2021,35
 Mongolia,2021,35
 North Macedonia,2021,39
 Panama,2021,36
 Moldova,2021,36
 Philippines,2021,33
 Egypt,2021,33
 Eswatini,2021,32
   Nepal,2021,33
 Sierra Leone,2021,34
 Ukraine,2021,32
 Zambia,2021,33
 Niger,2021,31
 Bolivia,2021,30
 Kenya,2021,30
 Kyrgyzstan,2021,27
 Mexico,2021,31
 Pakistan,2021,28
 Azerbaijan,2021,30
 Gabon,2021,31
 Malawi,2021,35
 Mali,2021,29
 Russia,2021,29
 Laos,2021,30
 Mauritania,2021,28
 Togo,2021,30
 Dominican Republic,2021,30
 Liberia,2021,29
 Myanmar,2021,28
 Paraguay,2021,30
 Angola,2021,29
 Djibouti,2021,30
 Papua New Guinea,2021,31
 Uzbekistan,2021,28
 Uganda,2021,27
 Cameroon,2021,27
 Bangladesh,2021,26
 Madagascar,2021,26
 Mozambique,2021,26
 Guinea,2021,25
 Guatemala,2021,25
 Iran,2021,25
 Tajikistan,2021,25
 Central African Republic,2021,24
 Lebanon,2021,24
 Nigeria,2021,24
 Honduras,2021,23
 Iraq,2021,23
 Cambodia,2021,23
 Zimbabwe,2021,23
 Eritrea,2021,22
 Republic of the Congo,2021,21
 Guinea-Bissau,2021,21
 Comoros,2021,20
 Haiti,2021,20
 Nicaragua,2021,20
 Sudan,2021,20
 Chad,2021,20
 Burundi,2021,19
 Democratic Republic of the Congo,2021,21
 Turkmenistan,2021,19
 Equatorial Guinea,2021,17
 Libya,2021,17
 Afghanistan,2021,16
 North Korea,2021,16
 Yemen,2021,16
 Venezuela,2021,14
 Somalia,2021,13
 Syria,2021,13
 South Sudan,2021,11
